Unique ID,Title,Source,Owner,Status,Category,URL
1,Diseases,http://en.wikipedia.org/wiki/Cat,Kelsey,Needs editing,Having a Healthy Cat,/healthy-cat/diseases
2,Sociability,http://en.wikipedia.org/wiki/Cat,Kelsey,Needs editing,About Cats,/about/sociability
3,Kitten care,http://www.mykitten.ca,Kelsey,Needs editing,Finding your perfect cat,/perfect-cat/kitten-care
4,Play,http://en.wikipedia.org/wiki/Cats,Kelsey,Needs editing,About Cats,/about/play
5,Reproduction,http://en.wikipedia.org/wiki/Cat,Kelsey,Needs editing,About Cats,/about/reproduction
6,Signs of Illness,http://www.mykitten.ca,Kelsey,Needs editing,Having a Healthy Cat,/healthy-cat/illnesses
7,History and mythology,http://en.wikipedia.org/wiki/Cat,Kelsey,Needs editing,About Cats,/about/history
8,Vocalizations,http://en.wikipedia.org/wiki/Cats,Kelsey,Needs editing,About Cats,/about/vocalizations
9,Breeds,http://www.iams.ca/en-ca/pet-health/cat-breeds?utm_source=google&utm_medium=cpc&utm_campaign=Iams_Search_Desktop_Category+Interest.Cats&utm_term=cat%20breeds&utm_content=sL8O0aPKm|dc_cat%20breeds_e_16039389257,Kelsey,Needs editing,Finding your perfect cat,/perfect-cat/breeds
10,Food Brands,http://en.wikipedia.org/wiki/Category:Cat_food_brands,Kelsey,Needs editing,Feeding your Cat,/feeding/food-brands
11,Behavior,http://www.mykitten.ca,Kelsey,Needs editing,Finding your perfect cat,/pet-cat/behaviour
12,Nutrition,http://www.catnutrition.org,Kelsey,Needs editing,Tender Loving Care,/tlc/nutrition
13,Vets,http://www.catnutrition.org/vets.html,Kelsey,Needs editing,Having a Healthy Cat,/pet-cat/vets
14,Care/cleaning,http://www.catnutrition.org/care.html,Kelsey,Needs editing,Tender Loving Care,/tlc/care-cleaning
15,Feeding,http://www.mykitten.ca,Kelsey,Needs editing,Feeding your Cat,/feeding/feeding
16,Training,http://www.mykitten.ca,Kelsey,Needs editing,Tender Loving Care,/tlc/training
